Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
67	NCT04429711	Ivermectin vs. Placebo for the Treatment of Patients With Mild to Moderate COVID-19		Recruiting	No Results Available	COVID-19	Drug: Ivermectin Oral Product	Viral clearance at day 6|Viral shedding duration|Symptoms clearance time	Sheba Medical Center	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	SHEBA-20-7156-ES-CTIL	May 12, 2020	September 30, 2020	October 31, 2020	June 12, 2020		June 16, 2020	Sheba Medical Center, Ramat-Gan, Israel		https://ClinicalTrials.gov/show/NCT04429711
68	NCT04536090	Study of Isoquercetin (IQC-950AN) Plus Standard of Care Versus Standard of Care Only for the Treatment of COVID-19		Not yet recruiting	No Results Available	COVID-19	Drug: Isoquercetin (IQC-950AN)	Changes in viral load from baseline to end of treatment - Mean viral load|Changes in viral load from baseline to end of treatment - Area under the viral load vs. time profiles|Changes in viral load from baseline to end of treatment - Time profiles of viral load|Changes in viral load from baseline to end of treatment - Time to viral negativity|Time to clinical recovery|All-cause mortality|Progression to supplementary oxygen requirement|Incidence of mechanical ventilation|Incidence of ICU admission|Time to hospital discharge|Changes in serum C reactive protein levels (CRP)|Changes in D-dimer levels|Changes in soluble low-density lipoprotein receptor (sLDLR) expression and proprotein convertase subtilisin/kexin type 9 (PCSK9) and soluble angiotensin converting enzyme 2 (sACE2) levels|Changes in LDL-cholesterol|Changes in creatinine|Changes in liver enzymes	Institut de Recherches Cliniques de Montreal|Pharmascience Inc.|SCiAN Services, Inc.|Quercis Pharma AG	All	18 Years and older   (Adult, Older Adult)	Phase 2	150	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	IRCM-IQC-001	November 2020	April 2021	May 2021	September 2, 2020		September 2, 2020			https://ClinicalTrials.gov/show/NCT04536090
69	NCT04345692	A Randomized Controlled Clinical Trial: Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients	OAHU-COVID19	Recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine	i. Clinical status|Oxygenation|Mechanical Ventilation|Hospitalization|Mortality	Queen's Medical Centre	All	18 Years to 95 Years   (Adult, Older Adult)	Phase 3	350	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	RA-2020-018	March 26, 2020	December 31, 2021	December 31, 2021	April 14, 2020		June 4, 2020	Queen's Medical Center, Honolulu, Hawaii, United States		https://ClinicalTrials.gov/show/NCT04345692
70	NCT04433910	A Clinical Trial of Convalescent Plasma Compared to Best Supportive Care for Treatment of Patients With Severe COVID-19	CAPSID	Recruiting	No Results Available	COVID-19	Drug: Convalesscent Plasma	Composite endpoint of survival and no longer fulfilling criteria of severe COVID-19.|Time to clinical improvement|Frequency and severity of adverse events by CTCAE v5.0, (Key secondary endpoint)|Case fatality rate|Length of hospital stay Length of hospital stay (if applicable)|Length of stay in ICU|Duration of ventilation support / ECMO|Time until negative SARS-CoV-2 PCR (nasopharyngeal sample)|Predictive value of comorbidities|Predictive value of coagulation markers|Predictive value of inflamation|Percentage of former COVID-19 patients willing to donate qualifying for plasma donation.|Amount of Plasma Units that could be collected for the clinical trial|Titer of anti-SARS-CoV-2 in transfused plasma units|Impact of donor characteristics on anti-SARS-CoV-2 humoral response|Course of anti-SARS-CoV-2 titer in both patient groups at different time points related to transfusion of convalescent plasma|Correlation of anti-SARS-CoV-2 titer in transfused plasma units and primary and key secondary outcomes.|Effect of timing of plasma transfusions	Deutsches Rotes Kreuz DRK-Blutspendedienst Baden-Wurttemberg-Hessen	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 2	106	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CAPSID2020-DRK-BSD|2020-001310-38	June 2020	December 2020	February 2021	June 16, 2020		June 23, 2020	University Hospital Ulm, Ulm, Baden-Württmberg, Germany|University Hopsital Frankfurt, Frankfurt, Hessia, Germany|Saarland University Hospital, Homburg, Saarland, Germany		https://ClinicalTrials.gov/show/NCT04433910
71	NCT04434131	Treatment With Investigational Convalescent Plasma and Measure Antibody Levels in Patients Hospitalized With COVID-19		Recruiting	No Results Available	COVID-19	Drug: Convalescent Plasma	Correlation between the NAb dose titer in the convalescent plasma and change or lack of change when comparing pre-treatment and day one NAb titers to inpatients with documented COIVD-19 infection|Rapid deterioration as evidenced by increase in ordinal or news score within 4 hours of transfusion|Number of participants with clearance of viral shedding of SARSCoV-2 in nasopharyngeal or nasal samples	University of New Mexico	All	18 Years and older   (Adult, Older Adult)	Phase 2	30	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	20-227	April 28, 2020	April 28, 2021	April 28, 2025	June 16, 2020		June 16, 2020	University of New Mexico Health Sciences Center, Albuquerque, New Mexico, United States	"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/31/NCT04434131/ICF_000.pdf	https://ClinicalTrials.gov/show/NCT04434131
72	NCT04371926	Prophylactic Benefit of Hydroxychloroquine in COVID-19 Cases With Mild to Moderate Symptoms and in Healthcare Workers With High Exposure Risk	PREVENT	Withdrawn	No Results Available	COVID-19	Drug: Hydroxychloroquine Sulfate	Time to reach normal body temperature|Development of COVID-19 symptoms during HCQ preventive therapy in staff|COVID-19 test result at follow-up in patients|Worsening of symptoms in COVID-19 patients	Texas Cardiac Arrhythmia Research Foundation	All	18 Months to 85 Years   (Child, Adult, Older Adult)	Not Applicable	0	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Prevention	TCAI_PREVENT	June 2020	June 2021	July 2021	May 1, 2020		June 4, 2020			https://ClinicalTrials.gov/show/NCT04371926
73	NCT04576312	Study to Assess the Safety of Ascending Doses of UNI911 INHALATION in Healthy Volunteers in Preparation for Evaluation in Adults With COVID-19		Recruiting	No Results Available	COVID-19	Drug: UNI911 INHALATION	Assess safety of UNI911 INHALATION in healthy volunteers: AE frequency	UNION therapeutics	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 1	44	Industry	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Investigator)|Primary Purpose: Other	UNI911-101	June 29, 2020	October 31, 2020	December 31, 2020	October 6, 2020		October 6, 2020	DanTrials, Copenhagen, Denmark		https://ClinicalTrials.gov/show/NCT04576312
74	NCT04308317	Tetrandrine Tablets Used in the Treatment of COVID-19	TT-NPC	Enrolling by invitation	No Results Available	Corona Virus Disease 2019,COVID-19	Drug: Tetrandrine	Survival rate|body temperature	Henan Provincial People's Hospital	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	TT-NPC	March 5, 2020	March 1, 2021	May 1, 2021	March 16, 2020		March 16, 2020	Tetrandrine Tablets, Jinhua, Zhejiang, China		https://ClinicalTrials.gov/show/NCT04308317
75	NCT04431453	Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of Remdesivir (GS-5734™) in Participants From Birth to < 18 Years of Age With Coronavirus Disease 2019 (COVID-19)	CARAVAN	Recruiting	No Results Available	COVID-19	Drug: Remdesivir	Proportion of Participants Experiencing any Treatment-Emergent Adverse Events|Proportion of Participants Experiencing any Treatment-Emergent Graded Laboratory Abnormalities|Plasma Concentrations of Remdesivir (RDV) and Metabolites|Change From Baseline in Oxygenation Use|Change From Baseline in the Use of Mechanical Ventilation or Extracorporeal Membrane Oxygenation (ECMO)|Clinical Improvement on a 7-point Ordinal Scale|Time (days) to Discharge From Hospital|Days to First Confirmed Negative Polymerase Chain Reaction (PCR) Result|Change From Baseline in Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-2) Viral Load|Bilirubin Concentrations in < 14-day-old Participants|Clinical Improvement Based on Scoring Using the Pediatric Early Warning Score (PEWS) Improvement Scale|Plasma Concentrations of Sulfobutylether β-cyclodextrin Sodium (SBECD)|Proportion of Participants With Concomitant Use of Medications other than RDV for Treatment of Coronavirus Disease 2019 (COVID-19)	Gilead Sciences	All	up to 18 Years   (Child, Adult)	Phase 2|Phase 3	52	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GS-US-540-5823|2020-001803-17	July 21, 2020	February 2021	February 2021	June 16, 2020		October 7, 2020	Children's Hospital of Alabama, Birmingham, Alabama, United States|Ronald Reagan University of California, Los Angeles Medical Center, Los Angeles, California, United States|Rady Children's Hospital San Diego, San Diego, California, United States|Tampa General Hospital (Inpatient Visits), Tampa, Florida, United States|Ann & Robert H. Lurie Children's Hospital, Chicago, Illinois, United States|Tulane University School of Medicine, New Orleans, Louisiana, United States|Boston Children's Hospital, Boston, Massachusetts, United States|UMass Memorial Medical Center - University Campus, Worcester, Massachusetts, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|Children's Minnesota, Minneapolis, Minnesota, United States|Children's Hospital and Medical Center, Omaha, Nebraska, United States|NYC Health + Hospitals/Jacobi Medical Center, Bronx, New York, United States|Montefiore Medical Center, Bronx, New York, United States|Northwell Health-Cohen Children's Medical Center, New Hyde Park, New York, United States|Carolinas Medical Center-Levine Children's Hospital, Charlotte, North Carolina, United States|Lehigh Valley Hospital/Lehigh Valley Health Network (LVH/LVHN), Allentown, Pennsylvania, United States|St. Christopher's Hospital for Children, Philadelphia, Pennsylvania, United States|Children's Medical Center, Dallas, Texas, United States|Texas Children's Hospital, Houston, Texas, United States|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|University Hospitals Birmingham NHS Foundation Trust, Birmingham, United Kingdom|Alder Hey Children's NHS Foundation Trust, Liverpool, United Kingdom|Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom|King's College NHS Foundation Trust, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04431453
76	NCT04568018	Surfactant-BL in Adult Acute Respiratory Distress Syndrome Due to COVID-19		Recruiting	No Results Available	ARDS Due to COVID-19	Drug: Surfactant	Mean duration of oxygen therapy (days) in the treatment group and in the control group.|The proportion of patients who required ALV within 5 days after the start of treatment.|Change from baseline in PaO2/FiO2 ratio dynamics within 5 days after the start of treatment.|Change from baseline in SpO2 dynamics within 5 days after the start of treatment.|Proportion of patients who achieved an oxygenation index (PaO2/FiO2) of > 300 mm hg.|Proportion of patients dead of any reason within 30 days after the start of treatment.|Time to patient transfer to mechanically ventilated.|Change from the baseline in the severity assessment of the patient's condition according to the NEWS-II scale within 5 days after the start of treatment.|Change from baseline in leukocytes within 5 days after the start of treatment.|Change from baseline in lymphocytes within 5 days after the start of treatment.|Change from baseline in CRP within 5 days after the start of treatment.|Change from baseline in ferritin within 5 days after the start of treatment.|Change from baseline in D-dimer within 5 days after the start of treatment.	Biosurf LLC.	All	18 Years to 75 Years   (Adult, Older Adult)		120	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	Sur/ARDS-2020	July 3, 2020	December 31, 2020	December 2021	September 29, 2020		September 29, 2020	FSAEI of Higher Education I.M. Sechenov First Moscow State Medical University, Moscow, Russian Federation		https://ClinicalTrials.gov/show/NCT04568018
77	NCT04374279	Trial to Promote Recovery From COVID-19 With Endocrine Therapy	RECOVER	Not yet recruiting	No Results Available	COVID-19|SARS-CoV 2	Drug: Bicalutamide 150 Mg Oral Tablet	Percentage of participants who have clinical improvement at day 7 after randomization|All-cause mortality|Duration of hospitalization|Percentage of patients needing upgrade to the intermediate care unit (IMC)|Duration of IMC stay|Percentage of patients needing upgrade to the intensive care unit (ICU)|Duration of ICU stay|Number of participants requiring mechanical ventilation|Duration of mechanical ventilation|Number of participants experiencing adverse events	Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins	All	18 Years and older   (Adult, Older Adult)	Phase 2	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	COV2003|IRB00249425	November 2020	November 2021	November 2021	May 5, 2020		October 2, 2020	Johns Hopkins Hospital, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT04374279
